source_dir,area,source_name,dataset_name,valid_images,points,observations,gcps,checkpoints,gcp_observations,cameras,photogroups,camera_models,source_format,source_software,image_index,source_image_ids_contiguous,source_bytes
C:\zuo\Projects\BA\Colmap_Output\ODMData\drone_dataset_sheffield_park_1-master,ba-colmap,ODMData/drone_dataset_sheffield_park_1-master,ba-colmap-problem-i77-p53071-o351969-g0-c0,77,53071,351969,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,1,39075671
C:\zuo\Projects\BA\Colmap_Output\ODMData\drone_dataset_sheffield_park_2-master,ba-colmap,ODMData/drone_dataset_sheffield_park_2-master,ba-colmap-problem-i53-p38052-o216461-g0-c0,53,38052,216461,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,1,27024018
C:\zuo\Projects\BA\Colmap_Output\ODMData\drone_dataset_sheffield_park_3-master,ba-colmap,ODMData/drone_dataset_sheffield_park_3-master,ba-colmap-problem-i32-p22394-o127508-g0-c0,32,22394,127508,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,1,15364232
C:\zuo\Projects\BA\Colmap_Output\ODMData\MapPilot,ba-colmap,ODMData/MapPilot,ba-colmap-problem-i488-p185844-o813829-g0-c0,488,185844,813829,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,0,219985991
C:\zuo\Projects\BA\Colmap_Output\ODMData\micasense,ba-colmap,ODMData/micasense,ba-colmap-problem-i210-p140933-o1042306-g0-c0,210,140933,1042306,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,1,119154002
C:\zuo\Projects\BA\Colmap_Output\ODMData\OBriens_2017-07-22,ba-colmap,ODMData/OBriens_2017-07-22,ba-colmap-problem-i87-p130867-o691565-g0-c0,87,130867,691565,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,1,56408474
C:\zuo\Projects\BA\Colmap_Output\ODMData\odm_boruszyn_kap,ba-colmap,ODMData/odm_boruszyn_kap,ba-colmap-problem-i46-p36453-o203793-g0-c0,46,36453,203793,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,1,23941633
C:\zuo\Projects\BA\Colmap_Output\ODMData\odm_data_aukerman,ba-colmap,ODMData/odm_data_aukerman,ba-colmap-problem-i77-p41775-o255263-g0-c0,77,41775,255263,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,1,39165760
C:\zuo\Projects\BA\Colmap_Output\ODMData\odm_data_bellus,ba-colmap,ODMData/odm_data_bellus,ba-colmap-problem-i109-p15732-o68221-g0-c0,109,15732,68221,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,0,50124512
C:\zuo\Projects\BA\Colmap_Output\ODMData\odm_data_caliterra,ba-colmap,ODMData/odm_data_caliterra,ba-colmap-problem-i77-p54997-o330302-g0-c0,77,54997,330302,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,1,32742183
C:\zuo\Projects\BA\Colmap_Output\ODMData\odm_data_copr,ba-colmap,ODMData/odm_data_copr,ba-colmap-problem-i38-p57138-o272245-g0-c0,38,57138,272245,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,0,25972137
C:\zuo\Projects\BA\Colmap_Output\ODMData\odm_data_garfield_msp\msp,ba-colmap,ODMData/odm_data_garfield_msp/msp,ba-colmap-problem-i112-p33046-o189830-g0-c0,112,33046,189830,0,0,0,112,112,OPENCV,COLMAP text,COLMAP,row,1,45651587
C:\zuo\Projects\BA\Colmap_Output\ODMData\odm_data_garfield_msp\rgb,ba-colmap,ODMData/odm_data_garfield_msp/rgb,ba-colmap-problem-i28-p7617-o16990-g0-c0,28,7617,16990,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,1,12144794
C:\zuo\Projects\BA\Colmap_Output\ODMData\odm_data_helenenschacht,ba-colmap,ODMData/odm_data_helenenschacht,ba-colmap-problem-i176-p60757-o311931-g0-c0,176,60757,311931,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,1,76989738
C:\zuo\Projects\BA\Colmap_Output\ODMData\odm_data_langley,ba-colmap,ODMData/odm_data_langley,ba-colmap-problem-i200-p135677-o873049-g0-c0,200,135677,873049,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,1,95241630
C:\zuo\Projects\BA\Colmap_Output\ODMData\odm_data_lewis,ba-colmap,ODMData/odm_data_lewis,ba-colmap-problem-i142-p84650-o396700-g0-c0,142,84650,396700,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,1,68768186
C:\zuo\Projects\BA\Colmap_Output\ODMData\odm_data_rv_nir-master,ba-colmap,ODMData/odm_data_rv_nir-master,ba-colmap-problem-i552-p112021-o471604-g0-c0,552,112021,471604,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,0,265240159
C:\zuo\Projects\BA\Colmap_Output\ODMData\odm_data_seneca-master,ba-colmap,ODMData/odm_data_seneca-master,ba-colmap-problem-i166-p149968-o728794-g0-c0,166,149968,728794,0,0,0,2,2,OPENCV,COLMAP text,COLMAP,row,0,95463856
C:\zuo\Projects\BA\Colmap_Output\ODMData\odm_data_toledo-master,ba-colmap,ODMData/odm_data_toledo-master,ba-colmap-problem-i87-p76731-o350539-g0-c0,87,76731,350539,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,1,45799768
C:\zuo\Projects\BA\Colmap_Output\ODMData\odm_data_waterbury-master,ba-colmap,ODMData/odm_data_waterbury-master,ba-colmap-problem-i239-p52995-o251144-g0-c0,239,52995,251144,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,0,99711009
C:\zuo\Projects\BA\Colmap_Output\ODMData\odm_data_zoo,ba-colmap,ODMData/odm_data_zoo,ba-colmap-problem-i504-p136289-o592906-g0-c0,504,136289,592906,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,0,222219766
C:\zuo\Projects\BA\Colmap_Output\ODMData\odm_mygla_dataset-master,ba-colmap,ODMData/odm_mygla_dataset-master,ba-colmap-problem-i27-p10645-o43797-g0-c0,27,10645,43797,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,1,11780819
C:\zuo\Projects\BA\Colmap_Output\ODMData\odm_sance-master,ba-colmap,ODMData/odm_sance-master,ba-colmap-problem-i156-p155823-o755115-g0-c0,156,155823,755115,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,1,86892271
C:\zuo\Projects\BA\Colmap_Output\ODMData\odm_wietrznia-master,ba-colmap,ODMData/odm_wietrznia-master,ba-colmap-problem-i225-p216557-o1075304-g0-c0,225,216557,1075304,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,1,121311225
C:\zuo\Projects\BA\Colmap_Output\ODMData\OldOrchard_2017-07-22,ba-colmap,ODMData/OldOrchard_2017-07-22,ba-colmap-problem-i171-p93894-o1163856-g0-c0,171,93894,1163856,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,1,76713394
C:\zuo\Projects\BA\Colmap_Output\ODMData\parrot_sequoia,ba-colmap,ODMData/parrot_sequoia,ba-colmap-problem-i196-p110506-o876318-g0-c0,196,110506,876318,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,1,104642467
C:\zuo\Projects\BA\Colmap_Output\ODMData\PH4 20161109 La Barrier Photometry,ba-colmap,ODMData/PH4 20161109 La Barrier Photometry,ba-colmap-problem-i293-p318975-o1573754-g0-c0,293,318975,1573754,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,1,169188242
C:\zuo\Projects\BA\Colmap_Output\ODMData\Phalaborwa_5530,ba-colmap,ODMData/Phalaborwa_5530,ba-colmap-problem-i36-p9023-o27647-g0-c0,36,9023,27647,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,1,13283594
